EN,WGO_LANGUAGE_COLUMN_DEFAULT,Default,
EN,WGO_LANGUAGE_COLUMN_ENABLED,Enabled,
EN,WGO_LANGUAGE_COLUMN_ID,Id,
EN,WGO_LANGUAGE_EDIT_SUCCESS_MSG,Language edited successfully,
EN,WGO_LANGUAGE_TITLE,Languages,
EN,WGO_LANGUAGE_TITLE_DIALOG,Language,
EN,WGO_LANGUAGE_WRONG_LANGUAGE_CODE,Code already exist,
EN,WGO_LANGUAGE_WRONG_LANGUAGE_DONT_EXIST,Language don't exist,
EN,WGO_LANGUAGE_WRONG_LANGUAGE_POST,Language creation fail,
EN,WGO_LANGUAGE_WRONG_LANGUAGE_PUT,Language edition fail,
EN,WGO_LOGIN,Login,
EN,WGO_LOGOUT,Logout,
EN,WGO_MAP_CONTACT_EMAIL_LABEL,Email,
EN,WGO_MAP_CONTACT_NUMBER_LABEL,Phone number,
EN,WGO_MAP_CONTENT_TITLE,Map Section,
EN,WGO_MENU,Menu,
EN,WGO_NETWORK_ERROR,Network error,
EN,WGO_SAVE,Save,
EN,WGO_SEARCH,Search,
EN,WGO_SELECT_COLUMNS_TL,Select Columns,
EN,WGO_SEND,Send,
EN,WGO_SERVER_ERROR,Server error,
EN,WGO_SETTINGS_COLUMN_KEY,Key,
EN,WGO_SETTINGS_COLUMN_SETTING,Setting,
EN,WGO_SETTINGS_COLUMN_TYPE_SETTINGS,Type Setting,
EN,WGO_SETTINGS_COLUMN_VALUE,Value,
EN,WGO_SETTINGS_POP3,Pop3,
EN,WGO_SETTINGS_POP3_EMAIL_EMAIL,Email,
EN,WGO_SETTINGS_POP3_EMAIL_HOST,Host,
EN,WGO_SETTINGS_POP3_EMAIL_PASSWORD,Password,
EN,WGO_SETTINGS_POP3_EMAIL_PORT,Port,
EN,WGO_SETTINGS_POP3_EMAIL_TLS,TLS,
EN,WGO_SETTINGS_POP3_EMAIL_USER,User,
EN,WGO_SETTINGS_POP3_EMAIL_DELETE,Delete after sync,
EN,WGO_SETTINGS_POP3_EMAIL_LOAD_TIME,Sync time,
EN,WGO_SETTINGS_SET_SUCCESS_MSG,Setting seted successfully,
EN,WGO_SETTINGS_SMTP,Smtp,
EN,WGO_SETTINGS_SMTP_EMAIL_EMAIL,Email,
EN,WGO_SETTINGS_SMTP_EMAIL_HOST,Host,
EN,WGO_SETTINGS_SMTP_EMAIL_PASSWORD,Password,
EN,WGO_SETTINGS_SMTP_EMAIL_PORT,Port,
EN,WGO_SETTINGS_SMTP_EMAIL_TLS,TLS,
EN,WGO_SETTINGS_SMTP_EMAIL_USER,User,
EN,WGO_SETTINGS_TITLE,Settings,
EN,WGO_SETTINGS_TITLE_DIALOG,Setting,
EN,WGO_SETTINGS_WRONG_TYPE,Type setting don't exist,
EN,WGO_SHOW_FILTERS_TL,Show Filters,
EN,WGO_SETTINGS_BOOLEAN_SETTING_FALSE,Disabled,
EN,WGO_SETTINGS_BOOLEAN_SETTING_TRUE,Enabled,
EN,WGO_TITLE,Swisspay,
EN,WGO_TRANSLATION_ADD,Add,
EN,WGO_TRANSLATION_COLUMN_ID,Id,
EN,WGO_TRANSLATION_COLUMN_KEY,Key,
EN,WGO_TRANSLATION_COLUMN_VALUE,Value,
EN,WGO_TRANSLATION_DELETE,Delete,
EN,WGO_TRANSLATION_DELETE_MSG,Are you sure you want to delete the translation key selected?,
EN,WGO_TRANSLATION_DELETE_SUCCESS_MSG,Translation key deleted successfully,
EN,WGO_TRANSLATION_IMPORT_SUCCESS_MSG,Translations imported successfully,
EN,WGO_TRANSLATION_SET_SUCCESS_MSG,Translation seted successfully,
EN,WGO_TRANSLATION_TITLE,Translations,
EN,WGO_TRANSLATION_TITLE_DIALOG,Translation,
